Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std,,,,,,,
Strelh,2017,Control,German ADHD rating scale,60,Teachers,pre,1.38,0.71,,,,,,,
Strelh,2017,Control,German ADHD rating scale,61,Teachers,post,1.32,0.71,,,,,,,
Baumeister,2016,NFB,DISYPS questionnaires,8,Parents,pre,1.48,0.53,,,,,,,
Baumeister,2016,NFB,DISYPS questionnaires,8,Parents,post,1.09,0.61,,,,,,,
Baumeister,2016,Control,DISYPS questionnaires,8,Parents,pre,1,0.64,,,,,,,
Baumeister,2016,Control,DISYPS questionnaires,8,Parents,post,1.17,0.72,,,,,,,
Linden,1996,NFB,IOWA Conners,9,Parents,pre,8.495,2.16,,,,,,,
Linden,1996,NFB,IOWA Conners,9,Parents,post,5.555,2.16,,,,,,,
Linden,1996,Control,IOWA Conners,9,Parents,pre,10.225,2.16,,,,,,,
Linden,1996,Control,IOWA Conners,9,Parents,post,9.945,2.16,,,,,,,
